Latitude,Longitude,2_clusters,3_clusters,4_clusters,5_clusters,6_clusters,7_clusters,8_clusters,9_clusters,10_clusters
40.83264128877624,-73.9434284347,0,0,1,3,0,6,4,3,3
40.87053761972336,-73.8903574489,0,0,1,3,0,1,0,0,1
40.677921434748,-73.9265464639,1,1,3,0,1,2,3,4,2
40.646346034881695,-73.9615140645,1,1,3,0,5,0,6,1,0
40.78786172417351,-73.9768990812,0,0,1,1,3,3,7,5,5
40.85209218922723,-73.9317183388,0,0,1,3,0,6,4,3,3
40.81848126882619,-73.9433682144,0,0,1,1,3,6,4,3,3
40.62807594635189,-73.9220260637,1,1,3,0,5,0,3,4,0
40.828007402988426,-73.8525374814,0,0,1,3,0,1,0,0,1
40.75427157534354,-73.8908086968,0,2,1,1,1,2,2,7,6
40.754686947532456,-73.8588177575,0,2,0,2,1,2,2,7,6
40.8462649120565,-73.911172937,0,0,1,3,0,1,4,3,3
40.68907545576084,-73.8040032545,1,2,0,2,2,5,5,2,8
40.85779167485867,-73.9064399538,0,0,1,3,0,1,0,0,1
40.675909810594725,-73.868365134,1,2,0,2,1,2,2,4,2
40.71786907305854,-73.947068339,1,1,3,0,1,3,7,5,5
40.64095280782718,-73.9482283482,1,1,3,0,5,0,6,1,0
40.76009122107389,-73.9144680111,0,0,1,1,3,6,7,7,6
40.74742032885671,-73.87685301,0,2,0,2,1,2,2,7,6
40.67403895854097,-73.9287426099,1,1,3,0,1,2,3,4,2
40.84351520268853,-73.8866720964,0,0,1,3,0,1,0,0,1
40.69700818722549,-73.7901786245,1,2,0,2,2,5,5,2,8
40.673339473642564,-73.965525285,1,1,3,0,5,0,3,1,0
40.665172313894885,-73.8951466684,1,2,3,0,1,2,3,4,2
40.840827094307535,-73.8856213615,0,0,1,3,0,1,0,0,1
40.75809787188751,-73.966163631,0,1,3,1,3,3,7,5,5
40.842825883336026,-73.8835180758,0,0,1,3,0,1,0,0,1
40.62929633278603,-74.1443502962,1,1,2,4,4,4,1,8,4
40.84056093412579,-73.9141730061,0,0,1,3,0,6,4,3,3
40.85517945631178,-73.8859111735,0,0,1,3,0,1,0,0,1
40.582317710599725,-73.9599777187,1,1,2,4,5,0,6,1,9
40.837900812592025,-73.8672929205,0,0,1,3,0,1,0,0,1
40.65259730409284,-73.9507816779,1,1,3,0,5,0,3,1,0
40.68708124781809,-73.9366288803,1,1,3,0,1,2,3,4,0
40.64566253900396,-73.9613811287,1,1,3,0,5,0,6,1,0
40.70455934388967,-73.7479130552,1,2,0,2,2,5,5,2,8
40.84020960889469,-73.9141698453,0,0,1,3,0,6,4,3,3
40.66689099812535,-73.8841713673,1,2,3,0,1,2,3,4,2
40.665767850044105,-73.9413927856,1,1,3,0,5,0,3,4,0
40.86129550683753,-73.9277574761,0,0,1,3,0,6,4,3,3
40.67559933268545,-73.8705035927,1,2,0,2,1,2,2,4,2
40.82493773568265,-73.9067318472,0,0,1,3,0,6,4,3,3
40.8345844598471,-73.9162224841,0,0,1,3,0,6,4,3,3
40.59175121356332,-73.7980130412,1,2,0,2,2,5,5,6,7
40.67653771741822,-73.9589333561,1,1,3,0,5,0,3,4,0
40.68300375690299,-73.9132797105,1,1,3,0,1,2,3,4,2
40.69131727375994,-73.9092049536,1,1,3,0,1,2,3,4,2
40.65034021408543,-74.0099536062,1,1,2,4,5,0,6,1,9
40.651445766649644,-73.9612876854,1,1,3,0,5,0,6,1,0
40.671619340768274,-73.8754176179,1,2,0,2,1,2,3,4,2
40.82131459234107,-73.9449663743,0,0,1,1,3,6,4,3,3
40.797662681554066,-73.9333705596,0,0,1,1,3,6,4,3,3
40.84443029005643,-73.8624439793,0,0,1,3,0,1,0,0,1
40.82482137795937,-73.8763954164,0,0,1,3,0,1,0,0,1
40.61924714352735,-73.9887686867,1,1,2,4,5,0,6,1,9
40.57708193879787,-73.9639406528,1,1,2,4,5,0,6,1,9
40.64681104872032,-74.0867813557,1,1,2,4,4,4,1,8,4
40.64550654336672,-73.9550822888,1,1,3,0,5,0,6,1,0
40.66773193256815,-73.9574392194,1,1,3,0,5,0,3,4,0
40.57722758258503,-74.0002483878,1,1,2,4,5,0,6,1,9
40.84835990942021,-73.9326004927,0,0,1,3,0,6,4,3,3
40.84951146711281,-73.8540946747,0,0,1,3,0,1,0,0,1
40.63627072403831,-74.0258155514,1,1,2,4,5,0,6,1,9
40.65319762180779,-74.0088620442,1,1,2,4,5,0,6,1,9
40.60675769327318,-73.9608238057,1,1,2,0,5,0,6,1,9
40.81926353642939,-73.9163357077,0,0,1,3,0,6,4,3,3
40.666343686662,-73.9520187375,1,1,3,0,5,0,3,4,0
40.828305084486644,-73.9208591658,0,0,1,3,0,6,4,3,3
40.801531873878425,-73.9366896843,0,0,1,1,3,6,4,3,3
40.670412460970226,-73.9277046817,1,1,3,0,1,2,3,4,2
40.705218136099994,-73.8322146171,1,2,0,2,2,5,2,2,8
40.83327734461359,-73.8637643492,0,0,1,3,0,1,0,0,1
40.823684226026934,-73.9413115138,0,0,1,1,3,6,4,3,3
40.640309948118656,-73.9532841737,1,1,3,0,5,0,6,1,0
40.64921832774487,-73.9444308339,1,1,3,0,5,0,3,1,0
40.87698655588999,-73.8732103289,0,0,1,3,0,1,0,0,1
40.66002469039385,-73.893882444,1,2,3,0,1,2,3,4,2
40.75437493539446,-73.8737721634,0,2,0,2,1,2,2,7,6
40.65331586471508,-73.912792127,1,1,3,0,1,2,3,4,2
40.85543063663474,-73.8961227863,0,0,1,3,0,1,0,0,1
